Ano,Origem de Combustível,Tipo de Geração,Potência (MW)
1997,Biomassa,UTE,76
1997,Eólica,EOL,0
1997,Fóssil,UTE,689.53
1997,Hídrica,PCH,9.884
1997,Hídrica,UHE,1208.142
1998,Biomassa,UTE,28
1998,Eólica,EOL,0
1998,Fóssil,UTE,108.3
1998,Hídrica,PCH,4.799
1998,Hídrica,UHE,1945.55
1999,Biomassa,UTE,143.1
1999,Eólica,EOL,2.5
1999,Fóssil,UTE,363.05
1999,Hídrica,PCH,6.975
1999,Hídrica,UHE,2205.67
2000,Biomassa,UTE,73.82
2000,Eólica,EOL,0
2000,Fóssil,UTE,717.356
2000,Hídrica,PCH,0
2000,Hídrica,UHE,1819.107
2001,Biomassa,UTE,273.175
2001,Eólica,EOL,2.4
2001,Fóssil,UTE,2344.918
2001,Hídrica,PCH,1.1
2001,Hídrica,UHE,1192.675
2002,Biomassa,UTE,366.6
2002,Eólica,EOL,0.6
2002,Fóssil,UTE,1554.8
2002,Hídrica,PCH,55.5
2002,Hídrica,UHE,2661.5
2003,Biomassa,UTE,365.2
2003,Eólica,EOL,1.8
2003,Fóssil,UTE,1141
2003,Hídrica,PCH,267.7
2003,Hídrica,UHE,2215.6
2004,Biomassa,UTE,76
2004,Eólica,EOL,4.8
2004,Fóssil,UTE,2944.1
2004,Hídrica,PCH,67.8
2004,Hídrica,UHE,1140.1
2005,Biomassa,UTE,76.3
2005,Eólica,EOL,0
2005,Fóssil,UTE,489.6
2005,Hídrica,PCH,126.4
2005,Hídrica,UHE,1732.9
2006,Biomassa,UTE,76.3
2006,Eólica,EOL,208.3
2006,Fóssil,UTE,489.6
2006,Hídrica,PCH,228.1
2006,Hídrica,UHE,2386.92
2007,Biomassa,UTE,200.8
2007,Eólica,EOL,10.2
2007,Fóssil,UTE,642.9
2007,Hídrica,PCH,253
2007,Hídrica,UHE,2214.99
2008,Biomassa,UTE,632.5
2008,Eólica,EOL,89.3
2008,Fóssil,UTE,611.4
2008,Hídrica,PCH,642.84
2008,Hídrica,UHE,180
2009,Biomassa,UTE,1155.19
2009,Eólica,EOL,266.93
2009,Fóssil,UTE,1068.8
2009,Hídrica,PCH,463.322
2009,Hídrica,UHE,602.16
2010,Biomassa,UTE,1749.9
2010,Eólica,EOL,325.6
2010,Fóssil,UTE,2012.9
2010,Hídrica,PCH,470.67
2010,Hídrica,UHE,1590.25
2011,Biomassa,UTE,919.05
2011,Eólica,EOL,498.35
2011,Fóssil,UTE,1206.45
2011,Hídrica,PCH,432.7
2011,Hídrica,UHE,1142.77
2012,Biomassa,UTE,916.825
2012,Eólica,EOL,456.19
2012,Fóssil,UTE,753.26
2012,Hídrica,PCH,393.61
2012,Hídrica,UHE,1463.03
2013,Biomassa,UTE,1431.28
2013,Eólica,EOL,313.19
2013,Fóssil,UTE,2611.5
2013,Hídrica,PCH,263.585
2013,Hídrica,UHE,1269.47
2014,Biomassa,UTE,906.53
2014,Eólica,EOL,2785.953999999999
2014,Fóssil,UTE,378.53999999999996
2014,Hídrica,CGH,16.106
2014,Hídrica,PCH,131.53000000000003
2014,Hídrica,UHE,3176.7299999999996
2015,Biomassa,UTE,922.228
2015,Eólica,EOL,2664.0949999999984
2015,Fóssil,UTE,548.7800000000001
2015,Hídrica,CGH,14.809999999999999
2015,Hídrica,PCH,102.72299999999997
2015,Hídrica,UHE,2299.39
2016,Biomassa,UTE,816.6250000000001
2016,Eólica,EOL,2558.1099999999965
2016,Fóssil,UTE,950.5310000000002
2016,Hídrica,CGH,9.11
2016,Hídrica,PCH,188.70800000000006
2016,Hídrica,UHE,5004.72
2017,Biomassa,UTE,508.06199999999995
2017,Eólica,EOL,2155.699999999998
2017,Fóssil,UTE,522.0460000000003
2017,Hídrica,CGH,7.09
2017,Hídrica,PCH,186.38000000000008
2017,Hídrica,UHE,3114.6800000000003
2017,Solar,UFV,932.9989999999999
2018,Biomassa,UTE,140.899
2018,Eólica,EOL,2003.8500000000008
2018,Fóssil,UTE,449.1450000000001
2018,Hídrica,CGH,9.1
2018,Hídrica,PCH,182.10100000000006
2018,Hídrica,UHE,3608.55
2018,Solar,UFV,827.62
2019,Biomassa,UTE,218.832
2019,Eólica,EOL,981.8600000000005
2019,Fóssil,UTE,531.7800000000001
2019,Hídrica,CGH,12
2019,Hídrica,PCH,184.13899999999998
2019,Hídrica,UHE,4754.739
2019,Solar,UFV,657.885
2020,Biomassa,UTE,212.3
2020,Eólica,EOL,763.4700000000012
2020,Fóssil,UTE,1775.5315000000153
2020,Hídrica,CGH,1
2020,Hídrica,PCH,104.35999999999997
2020,Solar,UFV,532.4100000000003
